insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-14T14:14:55Z,MADRID,SEVILLA,2019-04-30T11:00:00Z,2019-04-30T13:32:00Z,AVE,60.3,Turista,Promo
2019-04-11T21:54:33Z,MADRID,VALENCIA,2019-04-14T18:40:00Z,2019-04-14T20:20:00Z,AVE,73.1,Turista,Flexible
2019-04-14T05:06:46Z,MADRID,BARCELONA,2019-04-30T07:15:00Z,2019-04-30T16:37:00Z,R. EXPRES,43.25,Turista,Adulto ida
2019-04-27T05:19:13Z,MADRID,VALENCIA,2019-04-27T10:40:00Z,2019-04-27T12:20:00Z,AVE,57.75,Turista,Promo
2019-04-22T22:15:59Z,VALENCIA,MADRID,2019-04-24T09:50:00Z,2019-04-24T17:28:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-14T04:54:10Z,SEVILLA,MADRID,2019-04-15T08:35:00Z,2019-04-15T15:26:00Z,LD-MD,34.35,Turista con enlace,Promo +
2019-04-15T09:23:57Z,MADRID,PONFERRADA,2019-04-30T17:30:00Z,2019-04-30T21:33:00Z,ALVIA,55.8,Turista,Flexible
2019-04-16T09:30:28Z,VALENCIA,MADRID,2019-04-17T19:10:00Z,2019-04-17T20:50:00Z,AVE,66.55,Preferente,Promo
2019-04-13T06:22:22Z,SEVILLA,MADRID,2019-04-16T10:45:00Z,2019-04-16T13:17:00Z,AVE,NA,Turista,Promo
2019-04-25T01:14:43Z,SEVILLA,MADRID,2019-04-29T12:18:00Z,2019-04-29T14:56:00Z,ALVIA,NA,Turista,Promo
2019-04-20T16:11:02Z,BARCELONA,MADRID,2019-04-25T06:05:00Z,2019-04-25T09:15:00Z,AVE,80.15,Turista Plus,Promo
2019-04-17T05:00:27Z,MADRID,SEVILLA,2019-04-25T16:30:00Z,2019-04-25T18:51:00Z,AVE,60.3,Turista,Promo
2019-04-17T14:16:25Z,SEVILLA,MADRID,2019-04-26T07:40:00Z,2019-04-26T10:05:00Z,AVE,69.4,Preferente,Promo
2019-04-23T21:03:02Z,BARCELONA,MADRID,2019-04-26T15:00:00Z,2019-04-26T17:45:00Z,AVE,107.7,Turista,Flexible
2019-04-23T20:41:27Z,MADRID,PONFERRADA,2019-04-28T22:14:00Z,2019-04-29T04:31:00Z,TRENHOTEL,45.8,Turista,Flexible
2019-04-12T09:14:16Z,MADRID,SEVILLA,2019-04-26T18:00:00Z,2019-04-26T20:32:00Z,AVE,128.5,Preferente,Flexible
2019-04-16T22:21:43Z,BARCELONA,MADRID,2019-04-28T10:00:00Z,2019-04-28T13:10:00Z,AVE,75.4,Turista,Promo
2019-04-20T19:34:54Z,MADRID,VALENCIA,2019-04-28T19:40:00Z,2019-04-28T21:29:00Z,AVE,66.55,Preferente,Promo
2019-04-21T19:25:07Z,MADRID,SEVILLA,2019-04-23T13:30:00Z,2019-04-23T16:05:00Z,ALVIA,NA,Turista,Promo
2019-04-20T13:00:47Z,MADRID,BARCELONA,2019-04-22T13:25:00Z,2019-04-22T16:24:00Z,AVE-TGV,NA,Turista,Flexible
2019-04-23T18:38:26Z,VALENCIA,MADRID,2019-04-26T06:20:00Z,2019-04-26T10:36:00Z,INTERCITY,NA,Preferente,Promo
2019-04-11T22:34:27Z,MADRID,BARCELONA,2019-04-20T19:30:00Z,2019-04-20T22:40:00Z,AVE,86.8,Preferente,Promo
2019-04-22T01:34:35Z,SEVILLA,MADRID,2019-04-22T14:58:00Z,2019-04-22T17:50:00Z,ALVIA,NA,Turista,Flexible
2019-04-17T13:02:55Z,MADRID,SEVILLA,2019-04-30T11:00:00Z,2019-04-30T13:32:00Z,AVE,60.3,Turista,Promo
2019-04-18T09:47:24Z,BARCELONA,MADRID,2019-04-27T21:15:00Z,2019-04-28T00:02:00Z,AVE,66.75,Turista,Promo
2019-04-19T09:40:47Z,MADRID,BARCELONA,2019-04-28T20:30:00Z,2019-04-28T23:40:00Z,AVE,102.15,Turista Plus,Promo
2019-04-16T20:46:29Z,MADRID,BARCELONA,2019-04-17T20:30:00Z,2019-04-17T23:40:00Z,AVE,181.5,Preferente,Flexible
2019-04-18T03:30:12Z,MADRID,VALENCIA,2019-04-27T11:55:00Z,2019-04-27T13:35:00Z,AVE,57.75,Turista,Promo
2019-04-15T11:08:25Z,VALENCIA,MADRID,2019-04-29T14:50:00Z,2019-04-29T22:30:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-15T15:21:26Z,BARCELONA,MADRID,2019-04-16T19:00:00Z,2019-04-16T22:00:00Z,AVE,102.15,Turista Plus,Promo
