insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-22T20:32:39Z,MADRID,VALENCIA,2019-06-01T11:55:00Z,2019-06-01T13:35:00Z,AVE,27.8,Turista,Promo
2019-05-04T21:22:52Z,VALENCIA,MADRID,2019-06-14T06:38:00Z,2019-06-14T14:20:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-08T17:14:03Z,MADRID,BARCELONA,2019-06-04T14:00:00Z,2019-06-04T16:30:00Z,AVE,NA,Turista,Promo
2019-05-09T13:02:19Z,MADRID,SEVILLA,2019-06-26T12:00:00Z,2019-06-26T14:32:00Z,AVE,22.9,Turista,Promo
2019-04-28T05:35:33Z,SEVILLA,MADRID,2019-06-01T13:40:00Z,2019-06-01T16:10:00Z,AVE,47.3,Turista,Promo
2019-05-08T23:15:54Z,SEVILLA,MADRID,2019-06-27T18:45:00Z,2019-06-27T21:17:00Z,AVE,60.3,Turista,Promo
2019-05-06T13:24:30Z,VALENCIA,MADRID,2019-06-02T10:40:00Z,2019-06-02T12:27:00Z,AVE,51.15,Turista,Promo
2019-04-16T14:01:53Z,SEVILLA,MADRID,2019-06-01T10:45:00Z,2019-06-01T13:17:00Z,AVE,61.45,Preferente,Promo
2019-04-18T05:25:49Z,VALENCIA,MADRID,2019-06-03T09:50:00Z,2019-06-03T17:28:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-13T20:12:08Z,MADRID,SEVILLA,2019-06-02T13:10:00Z,2019-06-02T20:51:00Z,MD-LD,NA,Preferente,Promo
2019-05-09T15:44:46Z,MADRID,VALENCIA,2019-06-02T18:40:00Z,2019-06-02T20:20:00Z,AVE,66.55,Preferente,Promo
2019-04-27T11:30:50Z,SEVILLA,MADRID,2019-06-01T13:40:00Z,2019-06-01T16:10:00Z,AVE,47.3,Turista,Promo
2019-05-07T01:17:02Z,BARCELONA,MADRID,2019-06-19T14:00:00Z,2019-06-19T17:10:00Z,AVE,80.15,Turista Plus,Promo
2019-05-05T05:42:21Z,MADRID,SEVILLA,2019-06-02T11:00:00Z,2019-06-02T13:32:00Z,AVE,76.3,Turista,Flexible
2019-05-09T15:15:49Z,SEVILLA,MADRID,2019-06-30T15:45:00Z,2019-06-30T18:15:00Z,AVE,60.3,Turista,Promo
2019-05-07T05:45:30Z,MADRID,BARCELONA,2019-06-11T19:00:00Z,2019-06-11T21:30:00Z,AVE,88.95,Turista,Promo
2019-04-21T08:38:25Z,MADRID,VALENCIA,2019-06-02T18:40:00Z,2019-06-02T20:20:00Z,AVE,66.55,Preferente,Promo
2019-04-24T17:02:37Z,BARCELONA,MADRID,2019-06-01T09:03:00Z,2019-06-01T18:07:00Z,R. EXPRES,43.25,Turista,Adulto ida
2019-04-16T07:15:50Z,VALENCIA,MADRID,2019-06-01T14:50:00Z,2019-06-01T22:17:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-08T15:29:08Z,SEVILLA,MADRID,2019-06-13T18:45:00Z,2019-06-13T21:17:00Z,AVE,60.3,Turista,Promo
2019-05-07T19:06:36Z,BARCELONA,MADRID,2019-06-21T12:50:00Z,2019-06-21T15:45:00Z,AVE-TGV,66.75,Turista,Promo
2019-04-26T17:26:56Z,VALENCIA,MADRID,2019-06-02T08:00:00Z,2019-06-02T09:53:00Z,AVE,39.45,Turista,Promo
2019-04-28T15:22:11Z,VALENCIA,MADRID,2019-06-16T09:50:00Z,2019-06-16T16:58:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-28T17:57:23Z,VALENCIA,MADRID,2019-06-23T09:50:00Z,2019-06-23T16:58:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-29T15:12:38Z,MADRID,VALENCIA,2019-06-17T06:08:00Z,2019-06-17T12:55:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-08T05:27:55Z,BARCELONA,MADRID,2019-06-30T19:00:00Z,2019-06-30T22:00:00Z,AVE,85.1,Turista,Promo
2019-04-27T19:13:22Z,BARCELONA,MADRID,2019-06-02T15:00:00Z,2019-06-02T17:45:00Z,AVE,98,Preferente,Promo
2019-04-30T21:31:05Z,MADRID,VALENCIA,2019-06-16T12:42:00Z,2019-06-16T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-23T09:03:04Z,MADRID,SEVILLA,2019-06-01T08:00:00Z,2019-06-01T10:32:00Z,AVE,53.4,Turista,Promo
2019-04-21T02:44:30Z,MADRID,SEVILLA,2019-06-02T11:05:00Z,2019-06-02T13:41:00Z,ALVIA,NA,Turista,Flexible
2019-05-09T13:22:16Z,SEVILLA,MADRID,2019-06-13T21:00:00Z,2019-06-13T23:52:00Z,AV City,43.55,Turista,Promo
2019-05-06T05:07:18Z,SEVILLA,MADRID,2019-06-02T08:45:00Z,2019-06-02T11:15:00Z,AVE,76.3,Turista,Flexible
2019-05-06T23:04:15Z,BARCELONA,MADRID,2019-06-03T16:00:00Z,2019-06-03T19:10:00Z,AVE,80.15,Turista Plus,Promo
2019-05-09T03:32:48Z,BARCELONA,MADRID,2019-06-16T21:25:00Z,2019-06-16T23:55:00Z,AVE,90.5,Turista Plus,Promo
2019-04-20T06:32:24Z,MADRID,SEVILLA,2019-06-01T17:00:00Z,2019-06-01T19:38:00Z,AVE,47.3,Turista,Promo
2019-05-07T17:29:40Z,BARCELONA,MADRID,2019-06-09T17:25:00Z,2019-06-09T19:55:00Z,AVE,100.4,Turista,Promo
2019-04-16T10:06:55Z,BARCELONA,MADRID,2019-06-01T19:00:00Z,2019-06-01T22:00:00Z,AVE,38.8,Turista Plus,Promo
2019-04-18T23:24:26Z,SEVILLA,MADRID,2019-06-02T09:50:00Z,2019-06-02T12:36:00Z,ALVIA,NA,Turista,Flexible
2019-04-17T13:10:49Z,MADRID,BARCELONA,2019-06-03T07:15:00Z,2019-06-03T16:37:00Z,R. EXPRES,43.25,Turista,Adulto ida
2019-05-09T17:45:31Z,MADRID,BARCELONA,2019-06-10T17:00:00Z,2019-06-10T19:30:00Z,AVE,98.55,Preferente,Promo
2019-04-25T17:19:02Z,MADRID,VALENCIA,2019-06-13T12:21:00Z,2019-06-13T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-09T13:14:45Z,VALENCIA,MADRID,2019-06-25T14:50:00Z,2019-06-25T22:30:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-26T01:29:17Z,MADRID,VALENCIA,2019-06-20T06:08:00Z,2019-06-20T12:55:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-26T03:39:32Z,MADRID,VALENCIA,2019-06-22T08:00:00Z,2019-06-22T14:10:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-21T10:16:03Z,BARCELONA,MADRID,2019-06-02T08:00:00Z,2019-06-02T11:10:00Z,AVE,85.1,Turista,Promo
2019-05-08T07:15:22Z,BARCELONA,MADRID,2019-06-20T13:25:00Z,2019-06-20T16:10:00Z,AVE,80.15,Turista Plus,Promo
2019-04-18T18:26:10Z,SEVILLA,MADRID,2019-06-01T12:18:00Z,2019-06-01T14:56:00Z,ALVIA,NA,Turista,Promo
2019-04-15T21:25:43Z,MADRID,SEVILLA,2019-06-02T12:00:00Z,2019-06-02T14:32:00Z,AVE,69.4,Preferente,Promo
2019-05-02T15:07:35Z,MADRID,SEVILLA,2019-06-28T20:00:00Z,2019-06-28T22:21:00Z,AVE,53.4,Turista,Promo
2019-04-13T01:11:19Z,MADRID,SEVILLA,2019-06-02T13:30:00Z,2019-06-02T16:05:00Z,ALVIA,NA,Preferente,Promo
2019-04-23T20:02:37Z,MADRID,BARCELONA,2019-06-02T12:30:00Z,2019-06-02T15:30:00Z,AVE,102.15,Turista Plus,Promo
2019-04-30T05:07:56Z,MADRID,VALENCIA,2019-06-06T12:21:00Z,2019-06-06T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-25T03:02:13Z,BARCELONA,MADRID,2019-06-02T18:25:00Z,2019-06-02T20:55:00Z,AVE,100.4,Turista,Promo
2019-05-07T11:17:44Z,BARCELONA,MADRID,2019-06-14T19:25:00Z,2019-06-14T21:55:00Z,AVE,68.65,Turista,Promo
2019-05-05T21:07:59Z,VALENCIA,MADRID,2019-06-12T09:50:00Z,2019-06-12T17:28:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-09T19:45:07Z,MADRID,BARCELONA,2019-06-13T07:00:00Z,2019-06-13T09:30:00Z,AVE,70.15,Turista Plus,Promo
2019-04-13T11:32:01Z,MADRID,SEVILLA,2019-06-01T16:00:00Z,2019-06-01T18:30:00Z,AVE,NA,Preferente,Promo
2019-04-17T03:34:59Z,MADRID,VALENCIA,2019-06-06T12:21:00Z,2019-06-06T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-04T09:38:11Z,MADRID,SEVILLA,2019-06-01T17:00:00Z,2019-06-01T19:38:00Z,AVE,47.3,Turista,Promo
2019-04-20T20:24:29Z,SEVILLA,MADRID,2019-06-01T11:45:00Z,2019-06-01T14:17:00Z,AVE,47.3,Turista,Promo
2019-04-18T14:33:36Z,MADRID,SEVILLA,2019-06-01T20:35:00Z,2019-06-01T23:15:00Z,AVE,47.3,Turista,Promo
2019-04-23T04:19:04Z,VALENCIA,MADRID,2019-06-09T14:50:00Z,2019-06-09T22:17:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-16T01:22:40Z,BARCELONA,MADRID,2019-06-01T14:00:00Z,2019-06-01T17:10:00Z,AVE,58.15,Turista,Promo
2019-05-02T13:38:15Z,VALENCIA,MADRID,2019-06-20T14:50:00Z,2019-06-20T22:30:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-09T13:46:26Z,MADRID,BARCELONA,2019-06-12T08:20:00Z,2019-06-12T11:05:00Z,AVE,85.1,Turista,Promo
2019-04-19T08:13:45Z,MADRID,BARCELONA,2019-06-02T18:00:00Z,2019-06-02T20:30:00Z,AVE,100.4,Turista,Promo
2019-04-27T03:43:27Z,MADRID,BARCELONA,2019-06-01T17:30:00Z,2019-06-01T20:40:00Z,AVE,98,Preferente,Promo
