insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-05-07T11:20:59Z,BARCELONA,MADRID,2019-05-17T08:25:00Z,2019-05-17T10:55:00Z,AVE,115.65,Preferente,Promo
2019-04-22T01:34:13Z,SEVILLA,MADRID,2019-05-04T16:45:00Z,2019-05-04T19:17:00Z,AVE,76.3,Turista,Flexible
2019-04-18T00:51:18Z,MADRID,SEVILLA,2019-05-19T18:00:00Z,2019-05-19T20:32:00Z,AVE,76.3,Turista,Flexible
2019-04-24T12:20:19Z,MADRID,BARCELONA,2019-05-05T18:00:00Z,2019-05-05T20:30:00Z,AVE,127.1,Turista,Flexible
2019-04-20T03:03:05Z,MADRID,VALENCIA,2019-05-23T12:21:00Z,2019-05-23T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-22T22:43:55Z,BARCELONA,MADRID,2019-05-24T09:00:00Z,2019-05-24T11:45:00Z,AVE,102.15,Turista Plus,Promo
2019-04-30T11:36:48Z,VALENCIA,MADRID,2019-05-26T09:50:00Z,2019-05-26T16:58:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-15T18:03:57Z,MADRID,SEVILLA,2019-05-28T08:00:00Z,2019-05-28T10:32:00Z,AVE,69.4,Preferente,Promo
2019-04-22T12:25:40Z,SEVILLA,MADRID,2019-05-07T15:45:00Z,2019-05-07T18:15:00Z,AVE,76.3,Turista,Flexible
2019-04-30T07:15:42Z,BARCELONA,MADRID,2019-05-17T07:40:00Z,2019-05-17T10:10:00Z,AVE,88.95,Turista,Promo
2019-04-15T08:05:50Z,VALENCIA,MADRID,2019-05-06T19:10:00Z,2019-05-06T20:50:00Z,AVE,27.8,Turista,Promo
2019-04-22T02:08:07Z,MADRID,PONFERRADA,2019-05-03T14:40:00Z,2019-05-03T18:52:00Z,AVE-LD,62.4,Turista con enlace,Flexible
2019-04-27T03:26:07Z,MADRID,VALENCIA,2019-05-29T12:40:00Z,2019-05-29T14:20:00Z,AVE,27.8,Turista,Promo
2019-04-24T07:22:12Z,MADRID,VALENCIA,2019-05-10T15:10:00Z,2019-05-10T17:20:00Z,INTERCITY,43.75,Turista,Promo
2019-04-19T09:26:31Z,MADRID,VALENCIA,2019-05-27T16:55:00Z,2019-05-27T21:58:00Z,AVE-LD,39.25,Turista con enlace,Promo
2019-04-19T07:04:11Z,BARCELONA,MADRID,2019-05-11T09:03:00Z,2019-05-11T18:07:00Z,R. EXPRES,43.25,Turista,Adulto ida
2019-04-12T10:12:38Z,MADRID,VALENCIA,2019-05-15T14:10:00Z,2019-05-15T16:03:00Z,AVE,21.95,Turista,Promo
2019-04-24T04:35:37Z,PONFERRADA,MADRID,2019-05-07T17:55:00Z,2019-05-07T22:55:00Z,MD-LD,27.05,Turista con enlace,Promo
